"field_name","field_description"
"\"BaselineStock\",\"The equivalent 1X model of the buffer that the sample forms when diluted with their ConcentratedBufferDiluent by ConcentratedBufferDilutionFactor.\""
"\"BathFluid\",\"Fluid type that is allowed to be in the sonicator reservoir.\""
"\"BathVolume\",\"Volume of bath fluid required to fill the sonicator reservoir.\""
"\"BatteryRequirements\",\"All battery requirements for battery-powered instruments of this model.\""
"\"BeamOffset\",\"The distance from the bottom of the cuvette holder to the point at which the light hits the cuvette. This should correspond with the window offset (Z-height) on the cuvette in use.\""
"\"BedWeight\",\"The dry weight of the packing material (stationary phase media) in the column.\""
"\"BedWeight\",\"The dry weight of the packing material in the cartridge.\""
"\"Benchtop\",\"Type of material the benchtop is made of.\""
"\"Bevel\",\"The angle of the needle point, where a smaller angle indicates a sharper needle.\""
"\"BiosafetyHandling\",\"Indicates if samples of this model must be handled in a biosafety cabinet.\""
"\"BiosafetyLevel\",\"The Biosafety classification for this molecule.\""
"\"BiosafetyLevel\",\"The Biosafety classification of the substance.\""
"\"BiosafetyLevel\",\"United States Centers for Disease Control and Prevention classification of containment level of the biosafety cabinet.\""
"\"BladeLength\",\"The overall length of the blade.\""
"\"BladeMaterial\",\"The type of material used for the cutting edge of the blade.\""
"\"BladeWidth\",\"The overall width of the blade.\""
"\"Blank\",\"If the current ReferenceElectrode is a prepared electrode (has a ReferenceSolution defined), indicates the unprepared reference electrode model from which this current ReferenceElectrode model is generated.\""
"\"BlowOffValve\",\"Indicates that this cap is vented when the MaxPressure is reached.\""
"\"BoilingPoint\",\"Temperature at which the pure substance boils under atmospheric pressure.\""
"\"Breathable\",\"Indicates whether vapor can pass through the cap or holes in the cap.\""
"\"Breathable\",\"Indicates whether vapor can pass through the seal or holes in the plate seal.\""
"\"Buckets\",\"Centrifuge bucket models that can be used with this model of centrifuge rotor.\""
"\"BufferComponents\",\"The types of molecules which make up the buffer that the gel is made from.\""
"\"BufferLoop\",\"The volume of tubing between the syringe and the injection valve that is used to provide system fluid to the autosampler syringe.\""
"\"BuiltInCover\",\"Indicates if the container has a cover that is physically attached and cannot be physically separated from the container (ex. centrifuge tube).\""
"\"BulgeLoopEnergyFunction\",\"For loop sizes not in BulgeLoopEnergy, a function that takes in as input the loop size and returns the Gibbs free energy contribution due to an asymmetric internal loop of a particular size at STP (37C,1ATM).\""
"\"BulgeLoopEnergy\",\"The Gibbs free energy contribution due to an asymmetric internal loop of a particular size at STP (37C,1ATM).\""
"\"BulkMaterial\",\"The main material composition of this electrode model. This is the same with the WettedMaterials field if the Coated field is False.\""
"\"CAS\",\"Chemical Abstracts Service (CAS) registry number for this molecule.\""
"\"CCDArraySaturationIntensityData\",\"The fluorescence emission signal intensity at the saturation point of the CCD detector array across the entire fluorescence spectra.\""
"\"CameraModel\",\"Model of camera installed in the darkroom.\""
"\"CameraModel\",\"The model of the digital camera connected to the microscope.\""
"\"CameraResolution\",\"Resolution of the camera.\""
"\"Cameras\",\"A list of the cameras available for this model of Plate Imager.\""
"\"Cameras\",\"A list of the cameras available for this model of Sample Imager.\""
"\"CapConnectionSizes\",\"The sizes of the plumbing attachments available on the cap.\""
"\"CapConnectionTypes\",\"The types of the plumbing attachments available on the cap.\""
"\"CapillaryCapacity\",\"Maximum number of capillaries that can be loaded into the instrument.\""
"\"CapillaryCoating\",\"The substance that coats the capillary in the cartridge.\""
"\"CapillaryDiameter\",\"The internal distance from wall to wall of the capillary in the cartridge.\""
"\"CapillaryLength\",\"The effective linear distance of the capillary in the cartridge.\""
"\"CapillaryMaterial\",\"The substance that the capillary tube in the cartridge is composed of.\""
"\"CappedHeight\",\"The overall height of the vessel with the cap on, if applicable (height in Dimensions field represents uncapped height).\""
"\"CarbonDioxideControl\",\"Indicates if the microscope is fitted with a carbon dioxide-controlled sample chamber to maintain a specified carbon dioxide percentage while imaging.\""
"\"CarbonDioxide\",\"The percent CO2 at which samples with this storage condition are kept when not in use by any experiment.\""
"\"CarrierGases\",\"A list of the carrier gases that can be plumbed to the instrument.\""
"\"CartridgeImageFile\",\"A photo of this cartridge.\""
"\"CartridgeLength\",\"The internal length of the cartridge body.\""
"\"CartridgeType\",\"The format of this model of capillary ELISA cartridge plate (SinglePlex72X1, MultiAnalyte32X4, MultiAnalyte16X4, MultiPlex32X8 or Customizable). The pre-loaded CartridgeType (SinglePlex72X1, MultiAnalyte16X4, MultiAnalyte32X4 and MultiPlex32X8) are pre-loaded with validated ELISA assay.\""
"\"CartridgeType\",\"The instrument this cartridge is compatible with.\""
"\"CasingMaterial\",\"The material that the exterior of the column which houses the packing material is composed of.\""
"\"CationDetector\",\"A list of the available detectors on the instrument for cation channel.\""
"\"CationMaxColumnLength\",\"The maximum column length that can be accommodated inside of the column oven for cation channel.\""
"\"CationMaxColumnOutsideDiameter\",\"The maximum column outside diameter that can be accommodated inside of the detector/chromatography module for cation channel.\""
"\"CationMaxColumnTemperature\",\"The maximum temperature at which the column oven can incubate for cation channel.\""
"\"CationMaxDetectionTemperature\",\"The maximum temperature at which the detector can incubate for cation channel.\""
"\"CationMinColumnTemperature\",\"The minimum temperature at which the column oven can incubate for cation channel.\""
"\"CationMinDetectionTemperature\",\"The minimum temperature at which the detector can incubate for cation channel.\""
"\"CationNumberOfBuffers\",\"The number of different Buffers that can be connected to the pump system for cation channel. Refer to CationPumpType for the number of solvents that can actually be mixed simultaneously.\""
"\"CationPumpMaxPressure\",\"The maximum pressure at which the pump can operate for cation channel.\""
"\"CationPumpMinPressure\",\"The minimum pressure at which the pump can operate for cation channel.\""
"\"CationPumpType\",\"The number of solvents that can be blended with each other at a ratio for anion channel during the gradient (e.g. binary can mix 2 solvents and isocratic cannot mix multiple solvents).\""
"\"CationSuppressor\",\"The suppressor that converts high ionic strength buffers into water prior to detection that is integrated in the flow path of cation channel in the Ion Chromatography system.\""
"\"CationSystemFlushGradient\",\"The gradient used to purge the instrument lines at the end of an IonChromatography protocol for cation channel.\""
"\"CationSystemPrimeGradient\",\"The gradient used to purge the instrument lines at the start of an IonChromatography protocol for cation channel.\""
"\"CellTypes\",\"The cell types for which this medium is their preferred medium for growth.\""
"\"CentrifugeType\",\"The category/mode of operation of this centrifuge model.\""
"\"ChannelDimensions\",\"The internal dimensions of the flow channel the sample flows through.\""
"\"ChannelOffset\",\"Distance between the centers of each of the channels that this pipette has.\""
"\"Channels\",\"Number of redundant channels the pipette has.\""
"\"Chiller\",\"The model of recirculating water chiller used to cool this diffractometer.\""
"\"ChipSyringeMaxVolume\",\"Maximum volume of the syringe used to inject sample into the measurement chip.\""
"\"ChromatographyType\",\"The type of chromatography technique for which this column is suitable.\""
"\"City\",\"The city where this site is located for shipping purposes.\""
"\"Cleaner\",\"The sample used clean the instrument between experiments.\""
"\"CleaningMethod\",\"Indicates the type of cleaning that is employed for this model of container before reuse.\""
"\"CleaningMethod\",\"Indicates the type of cleaning that is employed for this part before reuse.\""
"\"CoatMaterial\",\"The surface material of this electrode model, if it is coated. This is the same with the WettedMaterials field if the Coated field is True.\""
"\"Coated\",\"Indicates if there is a different type of material outside the electrode other than the bulk material. If the electrode is coated, it should not be polished.\""
"\"CollisionCellGas\",\"Types of gas that can be used for collision cell to remove interferences.\""
"\"ColumnCompartmentType\",\"The specification of the module housing the columns. Serial indicates a single flow path for column installation (upto 3 joined columns). Selector indicators multiple serial column flow paths that can be programmatically toggled between.\""
"\"ColumnConnector\",\"The connector on the instrument to which a column will be attached to.\""
"\"ColumnConnector\",\"The types of connectors on the instrument to which a column will be attached. In the form: {Connector Type, Thread Type, Material, Gender, Inner Diameter, Outer Diameter}.\""
"\"ColumnFormat\",\"The diameter of the capillary GC column cage.\""
"\"ColumnHeight\",\"The height of the column.\""
"\"ColumnLength\",\"The outside length of the column.\""
"\"ColumnOvenSize\",\"The dimensions of the GC column oven in centimeters, in order Height, Width, Depth.\""
"\"ColumnPreheater\",\"Whether the instrument is equipped with a preheater in the column compartment.\""
"\"ColumnType\",\"The scale of the chromatography to be performed on the column. Analytical columns are used for smaller volumes and mainly for identification purposes. Preparative columns are used for larger volumes and mainly for separation purposes. Guard columns are mounted between the injector and main column to protect the main column from impurities.\""
"\"ColumnVolume\",\"Total volume of the column. This is the sum of the packing volume and the void volume.\""
"\"Columns\",\"The number of columns of positions in the rack.\""
"\"Columns\",\"The number of columns of well covers.\""
"\"Columns\",\"The number of columns of wells in the plate.\""
"\"CompatibleAdapters\",\"The shaker adapters that can be used with this shaker.\""
"\"CompatibleCameras\",\"Indicates camera types capable of taking an image of a sample in this type of container.\""
"\"CompatibleCoverFootprints\",\"The cover footprint that can fit on top of this container.\""
"\"CompatibleCoverTypes\",\"The types of covers that are compatible with this container.\""
"\"CompatibleImpellers\",\"The impellers that can be used with this overhead stirrer.\""
"\"CompatiblePlates\",\"Plates that can be placed on the measurement tray of this model of instrument.\""
"\"CompatibleRinsingSolvents\",\"The solvents that have been approved by the fiber manufacturer to be used for rinsing the fiber.\""
"\"CompatibleSonicationHorns\",\"The sound transmission horns that can be used with this device.\""
"\"CompatibleVessels\",\"Vessels for which liquid level can be measured by this model of instrument.\""
"\"Complements\",\"For each member of Alphabet, the pairing relationships between monomers that will spontaneously form an intermolecular hybrid of two strands of complementary sequence.\""
"\"ComponentsMSDSFiles\",\"EmeraldCloudFiles of the MSDS .pdf files for the components of this stock solution.\""
"\"ComponentsMSDSFiles\",\"EmeraldCloudFiles of the MSDS.pdf files for the components of this media.\""
"\"Composition\",\"The molecular composition of this model.\""
"\"ConcentratedBufferDiluent\",\"The buffer that is used to dilute the sample by ConcentratedBufferDilutionFactor to form BaselineStock.\""
"\"ConcentratedBufferDilutionFactor\",\"The amount by which this the sample must be diluted in order to form the standard working concentration. For a sample with ConcentratedBufferDiluent, the dilution made with ConcentratedBufferDiluent forms the standard 1X buffer (BaselineStock).\""
"\"CondensationRings\",\"Indicates if the lid has circular low-profile rings to catch any condensation.\""
"\"CondenserCapacity\",\"Volume of condensate the vapor trap can hold.\""
"\"CondenserMaxHeight\",\"The maximum height, measured from the stage to the condenser bottom, that the condenser mount can be adjusted to.\""
"\"CondenserMinHeight\",\"The minimum height, measured from the stage to the condenser bottom, that the condenser mount can be adjusted to.\""
"\"CondenserTemperature\",\"Temperature of the condenser Units.\""
"\"Conductive\",\"Indicates whether the pipette tips are conductive, allowing for liquid level detection for more precise transfers.\""
"\"ConductivityAccuracy\",\"How close the values measured by the detector are to the real value.\""
"\"ConductivityFlowCellVolume\",\"The volume of the instrument's conductivity detector's flow cell.\""
"\"Conductivity\",\"The conductivity of the substance.\""
"\"ConeDiameter\",\"Indicates diameter of the vacuum interface cone that can possibly be installed on the instrument.\""
"\"Cones\",\"For each member of ConeDiameter, Indicates the model of vacuum interface cone that can possibly be installed on the instrument.\""
"\"ConicalWellDepth\",\"Depth of the conical section of the well.\""
"\"ConicalWellDepths\",\"For each member of Positions, the depth of the conical section of the well.\""
"\"ConnectionType\",\"Indicates the manner by which the needle is connected to a syringe.\""
"\"ConnectionType\",\"Indicates the manner in which the syringe is connected to a needle.\""
"\"ConnectionType\",\"Indicates the way that cartridges are connected to this instrument.\""
"\"Connector\",\"All data connector requirements needed to interface the instruments of this model with a computer.\""
"\"Connectors\",\"Specifications for the ends of this part (if the part itself is a plumbing component), or the ports on this part, which may connect to other plumbing components or instrument ports.\""
"\"Connectors\",\"Specifications for the ends of this plumbing component that may connect to other plumbing components or instrument ports.\""
"\"Connectors\",\"Specifications for the ports on this model of instrument that may connect to other plumbing components.\""
"\"ContactModeResolution\",\"The resolution(s) (in RPMs) for a given range (in RPMs) of the contact sensor tachometer.\""
"\"ContainerCapacity\",\"For each member of CompatibleContainers, the number of the container model that can be processed by this centrifuge at a single time.\""
"\"ContainerMaterials\",\"The materials of which this container is made that come in direct contact with the samples it contains.\""
"\"ContainerPositions\",\"For each member of CompatibleContainers, the positions into which the container model can fit within the relevant centrifuge bucket (if buckets are used) or rotor (if buckets are not used).\""
"\"ContentsLog\",\"The record of items moved into and out of this container.\""
"\"Contents\",\"A list of all the Objects that this Object currently contains.\""
"\"ContinuousOperation\",\"Indicates if the instrument is required to operate continuously in the lab, regardless of if it is InUse by a specific protocol, such as a freezer.\""
"\"ControlledPressureRelease\",\"Indicates that the cap can be vented to relieve a specified amount of pressure.\""
"\"Controller\",\"Describes how the required volume is set on the instrument.\""
"\"CorrectionCurve\",\"The relationship between a target volume and the corrected volume that needs to be aspirated or dispensed to reach the target volume in the form: {target volume, actual volume}.\""
"\"Country\",\"The country where this site is located for shipping purposes.\""
"\"CouplingFluid\",\"The type of coupling fluid used by the acoustic liquid handler to allow sound waves to travel between the transducer and the source plate.\""
"\"CoverFootprint\",\"The footprint of the cover that is to be placed on a container.\""
"\"CoverFootprint\",\"The footprint of the cover that this septum should be used with.\""
"\"CoverType\",\"An enumerated symbol describing the cover this item represents. In addition to this field, NotchPositions and CoverFootprint are used to determine if a cover is compatible with a given container.\""
"\"CoverType\",\"An enumerated symbol describing the cover this item represents. In addition to this field, ThreadType and CoverFootprint are used to determine if a cover is compatible with a given container.\""
"\"CrossSectionalShape\",\"The shape of the outside of this container in the X-Y plane.\""
"\"CrossSectionalShape\",\"The shape of this filter model in the X-Y plane.\""
"\"CrossSectionalShape\",\"The shape of this model of instrument in the X-Y plane.\""
"\"CrosslinkerRatio\",\"The weight ratio of acrylamide monomer to bis-acrylamide crosslinker used to prepare the gel.\""
"\"CultureHandling\",\"Indicates the type of cellular samples (Mammalian or Microbial) that this instrument is used to handle.\""
"\"CupLiner\",\"Indicates whether the inlet liner contains a cup liner for trapping non-volatiles injected into the liner.\""
"\"CustomCalibrants\",\"Indicates if the instrument can be calibrated using user specified calibrants.\""
"\"CustomCleaningSolution\",\"Indicates if the instrument can be cleaned using user specified cleaning solution.\""
"\"CustomizableImagingChannel\",\"Indicates if a custom imaging channel can be created from a new combination of available FluorescenceExcitationWavelengths and FluorescenceEmissionWavelengths.\""
"\"CuttableLength\",\"Indicates if this items length can but cut crosswise, decreasing the length of the item.\""
"\"CuttableWidth\",\"Indicates if this items length can but cut lengthwise, decreasing the width of the item.\""
"\"CuvetteCapacity\",\"The number of cuvettes that can be washed simultaneously.\""
"\"CyclicVoltammetryCurrentAccuracy\",\"Indicates the level of uncertainty of current measurement accuracy when performing cyclic voltammetry measurements.\""
"\"CyclicVoltammetryPotentialAccuracy\",\"Indicates the level of uncertainty of potential measurement when performing cyclic voltammetry measurements.\""
"\"DLSDetectorAngle\",\"The angle with regards to the incident light beam at which the DLS detection photodiode is located inside the Multi-Angle static Light Scattering (MALS) detector.\""
"\"DLSDetector\",\"The type of Dynamic Light Scattering (DLS) light detector available to measure the scattered light fluctuation in the Multi-Angle static Light Scattering (MALS) detector.\""
"\"DOTHazardClass\",\"The Department of Transportation hazard classification for this molecule.\""
"\"DOTHazardClass\",\"The Department of Transportation hazard classification of the substance.\""
"\"DateLastUsed\",\"Date this container was last handled in any way.\""
"\"DateUnsealed\",\"Date the packaging on the container was first opened in the lab.\""
"\"Deactivated\",\"Indicates whether the inlet liner has been deactivated to prevent reaction with the injected analytes.\""
"\"DeadVolume\",\"Dead volume needed to fill the instrument lines.\""
"\"DeadVolume\",\"The volume of fluid that will remain in the syringe even when the plunger is fully depressed.\""
"\"Deck\",\"The deck layout that is installed on this type of liquid handler.\""
"\"DedicatedSolvent\",\"Indicates if the instrument can only be used with one specific solvent.\""
"\"DefaultCO2\",\"The default carbon dioxide percentage the incubator is set to maintain.\""
"\"DefaultCellType\",\"The cell types these model of incubators are designed to incubate.\""
"\"DefaultExcitationPowers\",\"For each member of ImagingChannels, the default percent of maximum intensity of the light source that should be used to illuminate the sample. Higher percentages indicating higher intensities.\""
"\"DefaultFlowRate\",\"The flow rate at which the shear rate along the membrane is 6000 per second.\""
"\"DefaultHumidity\",\"The default relative humidity the incubator is set to maintain.\""
"\"DefaultImageCorrections\",\"For each member of Modes, indicates the default image correction method that should be applied to the acquire image.\""
"\"DefaultMixer\",\"The typical homogenization chamber in the device.\""
"\"DefaultPolishingPlate\",\"The recommend type of supporting plate to use underneath the polishing pad during the electrode polishing.\""
"\"DefaultPolishingSolution\",\"The recommended polishing solution model to be used with this electrode polishing pad model.\""
"\"DefaultRotationRate\",\"The default shaking speed the incubator is set to maintain.\""
"\"DefaultSampleModel\",\"Specifies the model of sample that will be used if this model is specified to be used in an experiment.\""
"\"DefaultSamplingMethod\",\"Indicates the default sampling pattern that this instrument model uses to acquire image from a sample.\""
"\"DefaultStorageCondition\",\"The condition in which containers of this model are stored when not in use by an experiment; this condition may be overridden by the specific storage condition of any given container.\""
"\"DefaultStorageCondition\",\"The condition in which items of this model are stored when not in use by an experiment; this condition may be overridden by the specific storage condition of any given item.\""
"\"DefaultStorageCondition\",\"The condition in which parts of this model are stored when not in use by an experiment; this condition may be overridden by the specific storage condition of any given part.\""
"\"DefaultStorageCondition\",\"The condition in which plumbing components of this model are stored when not in use by an experiment; this condition may be overridden by the specific storage condition of any given plumbing component.\""
"\"DefaultStorageCondition\",\"The condition in which samples of this model are stored when not in use by an experiment; this condition may be overridden by the specific storage condition of any given sample.\""
"\"DefaultTargetMaxIntensity\",\"Indicates the intensity that auto exposure should attempt to attain for the brightest pixel in the image.\""
"\"DefaultTemperature\",\"The default temperature the Freezer is set to maintain.\""
"\"DefaultTemperature\",\"The default temperature the incubator is set to maintain.\""
"\"DefaultTransmittedLightPower\",\"The default percent of maximum intensity of the white light source that should be used to illuminate the sample. Higher percentages indicating higher intensities.\""
"\"DegasType\",\"The category of degassing type that can be performed by this degasser.\""
"\"DegasType\",\"The category of degassing type used by this degasser.\""
"\"DegasType\",\"The category of degassing type.\""
"\"DegenerateAlphabet\",\"Symbols representing zero or more possible monomers that could exist in a given position in the sequence.\""
"\"DelayLength\",\"The length of tubing between the detector and the fraction collector.\""
"\"DelayVolume\",\"The tubing volume between the detector and the fraction collector head.\""
"\"Denaturants\",\"The types and amounts of denaturants in the gel.\""
"\"Denaturing\",\"Indicates if the gel contains additives that disrupt the secondary structure of macromolecules.\""
"\"DensityAccuracy\",\"The accuracy of a calibrated density measurement result under ideal conditions and for low densities/viscosities.\""
"\"Density\",\"Known density of items of this model at room temperature.\""
"\"Density\",\"Known density of samples of this model at room temperature.\""
"\"Deprecated\",\"Indicates if this instrument model is historical and no longer used in the lab.\""
"\"Deprecated\",\"Indicates if this item model is historical and no longer used in the lab.\""
"\"Deprecated\",\"Indicates if this modelPart is historical and no longer used in the lab.\""
